"Product Name","Price","Sale Price","Pharmacies slug"
"Double Chocolate Bar Box Pack","51.00","45.00",""
"Vanilla European Crème 7 Day Pack","45.50","35.50",""
"4 week Kate Morgan Starter Pack","235.50","211.95",""
"Weight Maintenance Guide","15.00","12.00",""
"Kate Morgan Recipe Book","5.99","4.79",""
"Kate Morgan Program Guide","4.99","3.99",""
"Kate Morgan Food Guide","4.99","3.99",""
"Kate Morgan Shaker","4.95","3.95",""
"10 Day Variety Pack (20 shakes)","59.00","49.00","(6 inners)"
"Double Chocolate Bar 60g","4.25","3.95","(12 inners x 12 bars)"
"Chocolate European Crème 7 Day Pack","45.50","35.50",""
"Vanilla European Crème 52g","3.25","2.60",""
"Tomato Flavour Soups 52g","3.20","2.55","(25 units)"
"Banana 7 Day Pack","45.50","35.50","(6 inners)"
"Butterscotch 7 Day Pack","45.50","35.50","(6 inners)"
"Berry Shake 52g","3.25","2.60","(75 single units)"
"Cappuccino 7 Day Pack","45.50","35.50","(6 inners)"
"Vanilla 7 Day Pack","45.50","35.50","(6 inners)"
"Chocolate 7 Day Pack","45.50","35.50","(6 inners)"
"Pine Lime Shake 52g","3.25","2.60","(25 single units)"
"Banana Shake 52g","3.25","2.60","(75 single units)"
"Butterscotch Shake 52g","3.25","2.60","(75 single units)"
"Berry 7 Day Pack","45.50","35.50","(6 inners)"
"Cappuccino Shake 52g","3.25","2.60","(75 single units)"
"Chocolate Shake 52g","3.25","2.60","(75 single units)"
"Vanilla Shake 52g","3.25","2.60","(75 single units)"
"14 Day Kate Morgan Starter Pack","97.50","87.50","(3 inners)"
"8 week Serious Commitment Pack","437.70","393.90",""
"Chocolate European Crème 52g","3.25","2.60",""
